65282 28070
H18788 H39247
C20782 D33668
C36064 D18568
D21402 D50826
C6299 C44834
S13160 S37059
C17425 D48535
S21770 C48985
C39686 S16751
C50854 H18002
D35427 D37199
D5790 S14545
H34129 C36436
C15671 D59836
D37217 D30736
D26520 H25167
D48140 H7154
S3280 S49220
H5977 C3
S26031 C6595
S9146 C5248
S10742 H30969
S22371 H56238
S5357 C53315
H47868 S56573
C940 S2777
S6298 C57594
D25921 H63603
C38055 D14163
H50618 D41229
S42628 H59417
H3449 D58236
H32774 D18961
D52062 C13208
C61622 D30512
C8174 H48044
D20291 H11320
C17958 D20113
C2609 C28472
S17122 D10003
D37270 H519
S13432 H21203
C22002 H64548
H37309 H17141
H24565 D45924
D55368 H11093
S20852 S34771
C17070 S42907
H18121 C60247
S45290 S37790
H28032 S17272
C43726 H40524
S17736 D30510
H50363 D58778
H30427 S61259
H49418 H18505
D58835 H26629
H37407 C37536
C52005 H60629
S64594 C47331
S18820 H40916
D745 H53267
D30516 H9253
S35709 S61059
H56594 H57089
H41393 H22684
S20290 C21074
S25569 D14128
H55516 H2157
S53885 D34313
S59984 D47086
H10281 C15415
D43271 H8985
C35719 D37960
D7754 S20568
S7899 D30889
D21552 H39776
D10903 D64015
C39440 C25794
S20469 D32313
H36412 H59570
D58683 D2039
C54555 D9301
H7819 S24646
C16627 C212
H4761 H43638
D59945 D47958
H39361 H31056
C18748 H16813
C43897 C2516
C2422 H34275
C51278 C22728
C23797 H38743
C352 H52842
H9889 C52721
C53680 S47503
H38279 S61697
S34842 H37258
D34537 C16945
H33858 C403
S28823 D18488
H123 S25463
S65167 D12449
C33648 H37562
H54867 D12340
H63064 D19564
H45627 C5385
H46551 H44981
H11873 D64697
H428 S31854
H37353 S60000
H16118 C30123
D31009 H2816
C9129 S60126
H31791 D9774
H41295 D42202
C28042 D35561
D50299 D13417
C60247 H29697
C61885 S33878
D19341 C13787
C16635 S31359
D7379 H874
H48074 D54348
D35015 C53368
H8855 C16898
D46838 H6784
C2217 D17116
D59974 C35538
C889 H47061
C34874 C49244
S21338 C34227
D24700 S55059
D43470 C13083
S2854 H32706
C15456 S8502
H39522 C38192
H21949 S54252
C43116 D6058
D23873 S52142
H15289 S64564
D41605 H32215
H33094 S57342
D39074 C50438
C62273 C46347
C65239 C48108
C61828 S11250
H8798 S2399
C36125 S7677
C49578 H184
C28581 H7900
D20873 D64455
S22351 H13768
S48036 H16612
S57878 S62419
D23147 C57086
S2858 C48585
C1604 C1854
S51182 C3433
D24473 D48528
H61065 S25442
H61232 S36069
H60157 H17846
S49955 C42866
S13858 C42773
S51735 S27933
C49462 H19469
H15556 S55872
S46506 C40436
S29981 H31824
H39361 C26100
D20281 C45171
C13647 C20031
D23997 S36600
S10651 S33426
C38126 D34959
S37084 D21654
S51731 H15536
C28673 D28809
S37443 H3636
S34898 H53012
S61442 S56629
C11911 C39027
S25998 C25433
H41877 S41655
H8516 D60029
C47618 H22126
H15940 C33255
D29371 H10915
D18639 D32882
C26553 H11569
S28798 C19803
S44997 S12196
D50057 D38419
S24071 H2614
C2462 H18139
C30394 D7818
D11689 S57056
H16347 D25243
H45553 S4218
H8642 S43016
H59876 S7492
H7869 S62756
C49177 H10105
D1103 S8868
C36283 H59247
S44610 C36604
H45196 H34768
D41482 D29830
C38999 S54159
H39248 S19991
C14246 C15968
C31905 D41419
H15273 S23460
C60315 C48921
D23164 S60466
H23549 H30247
D10780 D56472
C13787 S7390
S26588 S43516
C14027 D15866
C28029 H44707
C6088 H28006
S963 H28147
S14287 D54724
S60855 S7448
H62373 D27683
S24796 S42
D28461 C33037
S17470 C37481
H32950 S18227
H56489 D10422
H17883 D30869
C16954 H13057
S8316 C28113
S42662 C33082
H33504 C29390
C4112 D54600
H59221 C38289
C31583 H54926
H19199 C2890
D39782 D64884
S40360 H43965
D54458 C60134
H35566 D39326
D43536 H34436
S51263 C47116
S27006 S48070
H26475 H29598
H7030 C46481
C58262 S48956
C35258 D14431
D45062 D61288
H46039 C36288
S53128 D26917
D25475 H37187
H41038 D46762
C8784 H45485
H1176 H13270
C15261 C5970
C40192 S6015
C64596 D37377
S62844 S36710
S55792 S4778
H6408 C7484
C36699 C46524
C34794 S51688
D7287 D18456
D49899 H64721
C13788 D41594
S59960 S5947
C43869 C18060
S15641 C43445
S55107 S58709
C40714 D53269
H37487 C5157
C41122 C35309
S51826 H5773
C37439 C64605
C41343 C5205
H55061 H37578
D57623 D14218
D16573 H39499
S63779 S61908
C9361 D48079
H48254 C7726
H64134 C36448
C50692 S34901
C4045 D45247
C58038 S47605
D57363 C47437
C36486 D2775
D30979 S31451
H8766 C12550
S28201 D57698
C50474 H55544
S48787 D49931
C28545 C34413
D48117 C59748
D50844 D51444
C55144 D35404
C56528 D49915
D4853 H60491
S17215 C2436
H35922 S36358
S32880 C2817
S24358 D33546
S14694 H52544
S26657 C50733
S53709 S9678
S64207 S17392
D37216 D20118
D62129 S24860
H55210 S3715
S46357 D49328
H2661 H50026
C58979 D32945
H43648 S49931
H4798 S24500
C12476 H41835
C11109 C17001
S33228 D11127
S14026 S21821
S17146 S9049
H21415 S3914
C31692 D39135
H18143 H43684
S48859 H40897
C17887 H27624
D36786 H24314
H60090 H26560
S39934 S6609
S11212 D30633
S31270 S46024
H4818 C38741
C27113 D64914
H22047 H60966
S45674 H6286
D12528 S3017
D44828 H35998
D33570 H47605
H60821 D24180
S9150 C4354
D27745 D13607
C26644 S47323
C40810 C32415
S63888 C39380
H21041 S5069
D20392 S25118
H36159 D65027
S12598 H7288
C18449 D20078
S9166 H45967
D34796 H35130
C47946 D30104
H40953 S63092
H10723 D12098
D56495 S35955
S56157 D16571
S4708 S15200
C34487 D32817
D59810 C16910
C47367 H59862
H20078 D36325
S50900 D13524
D22238 S53547
S13503 S8706
D476 C56085
D33426 H15398
C43430 D25971
D57489 S48790
S26121 D60049
S59111 S51553
H33326 S41571
S42771 C4190
S62426 D8511
H31498 D19355
H52863 S24423
S53286 H19097
C55802 D25927
H34519 D15347
D21245 H16798
D16266 D14162
S24934 H40473
S818 S11689
C3209 S61939
S31448 D48491
D23260 S27250
C21661 S61805
S56822 C43234
C39018 D42122
D792 D28343
S18457 D48962
S23647 H60735
S18657 S12968
D22190 C62668
C39897 H10570
H50646 D41776
H40444 C7632
H17222 C49581
D29118 H7177
C47103 D14154
C34300 C51631
S28696 D27417
D51798 S63886
D45203 S47411
C20264 H57897
C29082 D12775
D35417 S19916
C8170 C62044
H3447 H40990
S47831 D10022
C16195 H43079
H46662 S53197
D24472 H25169
D52948 C16842
S3944 D55832
D56049 H1029
D45276 D4788
S25814 D51677
S13492 C55269
D60592 S18636
H17338 H41101
S16847 C64835
H25398 C27999
D58087 H22671
D57828 C23802
S57152 S21426
C6501 S2879
S254 C50476
H22105 D20687
C15245 C62417
C53202 H48330
S52869 H57548
S20432 S21200
H38368 D1452
S44430 H32095
H44325 S40481
H35564 H61396
C54762 C2825
C12621 C34362
D51192 D48713
C48646 C15212
S3580 C10708
H40489 H51076
H32895 C7825
H46629 D4161
D39898 H46380
D15564 C25957
S49699 S45644
D27452 H26537
C11153 S3517
H10798 D59786
C59821 C19634
S52516 C3869
D41770 S26845
H5068 H18780
D60369 D1582
S60642 D5126
C40487 S4604
C25874 C58081
C12823 C44695
H51153 D45577
H6084 C6806
S13856 H13811
D37308 C13164
H3628 C14169
C57787 S20206
H60606 S30736
S41842 C26227
C43629 D35649
S22816 C48734
C30210 C49915
D55465 S54696
S1246 C19966
S34942 C21765
C56919 H54196
C53184 C30719
D35590 S56865
H28652 D15612
S45563 H13203
D9985 C47052
D17402 H18675
H2383 D30067
D22957 H16476
S5868 D60803
H357 C6039
S54874 D22101
D51601 H48430
H25561 H14566
C43552 S63199
H30388 C60716
S53295 H55237
C60646 C36958
D58458 H30325
C11340 H62612
S57219 C19379
S8077 H19821
H18864 D4814
H64232 S29347
H31979 D8758
S39762 H31608
C59018 S61718
D34425 S14802
D44190 D49486
C50759 H25276
S52231 H25382
S47112 D16808
D51126 S42097
D62004 H52958
S18752 D54697
D27902 D38735
C26827 S11664
S12751 H56376
S36236 S20246
D18991 C49370
C22394 S34539
C15523 H53811
D4065 H31307
C53075 H44608
C10592 H45051
H15115 H45496
H5383 D26817
H35202 S22111
C58664 S43122
D29684 S42520
H59275 H22486
C53513 D14358
H61615 H17077
D62721 C22279
C38069 C51393
C38134 D62633
H20876 H38645
H15069 H19052
H62462 D3374
C5579 C37103
C10239 S54677
H45238 D60335
S45272 S4188
S20462 D52102
D2444 H11820
H63756 D32958
S62106 S16464
H28599 S8055
C39650 C19543
D30426 H49705
H21682 S34469
C48416 C5154
H63513 H3189
C31994 D5651
H33702 D9993
D20026 C38016
H32509 C4844
S44127 D62492
H39688 S59575
D58712 D23584
D49113 S56740
C30281 H51721
C42268 D56066
D17823 C11177
D62370 H42578
C46585 S27025
C58174 H64935
S46755 H28378
C16871 C45268
S2818 C13074
C44250 D26456
C1440 H9791
S38667 D5350
S3739 H28738
D2567 S19956
D64996 H10950
D28657 S28756
S33536 S42631
S27020 C50222
C46432 S61818
H26326 S9978
S22607 H5168
C47595 S48742
S14759 D51804
H14116 H54696
H61239 D24038
S22225 S56167
S61179 S25096
C19532 H55439
C26835 C20303
H55205 S42055
S49504 D31517
H54628 C33714
H39344 C40799
H209 D32947
C2416 C32706
C60540 H29609
D42096 H493
D28273 C62695
C22616 C50837
D45424 H20416
S17030 C23262
H39638 H60003
S54876 H21597
H60345 S4015
S65280 H2941
H45325 D49063
S35256 S17527
C795 C39050
D52604 C52474
D10173 C2288
C9710 D62728
H45273 H63425
D4912 S12754
D806 H3691
S39257 C35531
S43598 H28674
S63288 C4969
S37985 S53380
H38987 D35365
S52388 H34232
H43658 D39354
C42936 H42319
H64467 D58881
C13350 H50480
H61490 S47607
D26784 C55122
S6452 S38991
C1358 S14090
C27020 H64665
D26400 H64329
C553 C57040
D41651 C34499
D12287 D59437
H14769 D4417
H1156 C36603
C14446 H57303
C3233 D52365
H11502 S24407
D31836 D53707
H23608 S63524
D11638 S37189
H2710 C20891
D34628 D58992
H56256 C17893
C4778 C57017
