40247 45911
S15825 D4219
S23093 D38391
D34012 S22132
C3814 H26560
D5644 H81
D32137 H10953
C37967 S24980
S12592 D26824
D10969 C11543
S12963 S39171
D12209 S23160
S11429 C21740
H11677 C20233
H4394 S38759
C27126 S37053
H5472 C37990
C19634 D25986
D13137 D25951
D8548 S38794
D35271 D25149
D21291 D3112
C18970 S23165
S9020 H23462
S31570 H4185
C30783 D27921
S3775 C9106
S36247 C25400
S15500 S36029
D6135 H32748
C5612 S21576
S12283 H20876
H13918 H29779
C18257 H983
D38339 D12742
C27015 S29247
H17659 H29241
S12951 H5757
D32228 H33051
S14240 H14649
C32099 C29127
D15845 D36716
C35954 D28562
C11646 C22372
C27639 S33460
S4533 D31099
H20799 H3971
D16795 S39935
H28672 S7900
S2234 C33936
C8761 H24507
D2513 H39526
S10710 C21745
H34915 H7505
H37043 D39693
D16143 H14194
S32284 S27198
D5533 D7151
S8310 S11443
S6602 C28973
H25051 C31042
D5668 H23276
C30589 H22844
D4947 D8715
D8076 C31989
S39006 C10265
S20717 H21442
S37603 C20518
H13355 H10479
D39432 H16260
S18915 H12212
C6772 S30335
H522 S771
H36159 H18889
D6461 H29477
C14699 D33637
S39000 H9311
C9541 D33753
C14220 C18938
H25315 C39662
D39380 D12868
H34149 D5808
C1414 S6847
C3048 C3847
S20514 C32069
S9580 D7693
S21978 C21119
D14657 D34579
H22705 S2486
C37791 C30848
S17305 C17469
H36101 D30410
D2956 C27118
D3496 D12666
C21204 D26175
C3974 D15354
H24734 S5035
S21948 D29415
C22941 C25362
D13894 D39864
H4992 S4081
H9996 D36952
C18068 C26971
S22337 S34828
C13584 C35951
S37404 C12672
D19740 C27795
H7828 H26854
C11953 H6767
C225 C34024
C546 C27186
C32054 D37364
C13811 C15741
D34491 D1068
D3 D17442
C9301 D36702
D10234 H21759
H6410 H9688
D3384 D34683
S28954 C14448
S23406 H18103
D38628 S33126
D3929 D21637
C22283 D32970
H27498 H12824
C6120 D34377
C8910 C26623
C8251 D18756
C2600 D32485
H15281 D12085
H25817 D7638
C40048 D13578
D24530 S7960
H15459 H32990
H22431 D12555
S36086 C38287
S29520 D3419
S23533 S29272
D19 S33042
S12532 D9610
H21996 D16587
C3119 D25079
H9531 C37038
H35673 H4687
D25579 H14882
H9507 S30099
H37209 C12987
S33184 D20190
D21797 S29216
D10647 C18342
C18667 C7858
H8116 H25772
S38694 H17983
S38469 S7032
D5997 D10448
H21946 C28928
H8192 H6260
S18902 D38005
C39266 D2
S28125 D20275
H5768 S5591
H39404 H6970
C25640 S2075
C6218 C20242
S30656 C14424
S18217 D25290
D20650 D22415
S25176 D5013
D11495 C7645
H576 C12356
D5337 D7178
C29588 S39826
C11448 D1002
S17846 D23572
C35077 H33940
D15318 C18499
H13979 S24370
D20286 S34252
C31804 S20128
H34498 C5761
C17861 H30711
C9942 C32091
D22609 D31933
H23281 S11635
D8262 S19254
D4529 H12067
H5462 C30741
D4000 C5939
C14432 D7903
S12960 D12843
S27557 D40023
D2948 D4178
C24371 C39913
H8250 S33117
H4227 H12580
C8555 H12613
S31387 D16840
H21141 S27082
H9832 S6983
H17023 S27523
S16947 D2450
S8657 C39178
C36987 C38560
D16852 S36604
S10628 D3297
S901 C39217
H30624 D14182
S12963 C14884
H32446 D35465
S9789 H36413
C27368 S11010
D38299 S16545
D1668 H29757
S39922 H2409
S5858 S35345
H1760 H12286
D18770 H19530
D24339 C39419
C13538 D16839
C28829 D8011
S4815 D33311
S35113 H17295
C27779 D20258
D9477 H18930
S24158 D20743
H27058 D10009
C31134 S12393
S12343 D27831
C30398 C33415
C2745 D26807
S40133 D15115
H32498 S2439
S14631 C6611
S3849 S10805
S22896 H37011
H23589 D16037
H14058 C33152
D13271 H1171
S28128 D4708
C17657 S39733
H5962 H11398
H31018 D18537
D28735 D14878
H27394 S27162
D15425 D39681
H20039 C3858
C24710 S16156
D22825 H9831
H10591 C28560
D28285 S9742
C27433 D15168
D633 C25740
C24409 D30869
S19573 D15599
H6189 S8982
S23055 D19039
H15730 C36656
S7580 D9238
S30938 D34233
D35504 D32108
D23487 H26965
S17166 C19425
H28811 D14954
S10152 S2336
H850 S21482
H33615 H35367
H2957 H25880
C37153 D33004
S16180 H13078
H20162 H1742
C12128 S10660
D13972 D26764
H20771 H29661
C39457 D10048
S21902 S765
H30231 S36450
D4506 H420
C38567 H29991
C25366 H25062
D20745 H8145
S35846 H34831
C25159 S24878
H20193 D24614
D7111 S17173
S7024 S4980
H30227 H20842
C26936 H5459
C33314 S25944
H22696 S33229
H29766 H6094
H8336 C34244
D14918 C26656
S2744 C23261
H25118 D18858
H23671 S34474
C39904 S35954
D18210 H1786
C9125 H12281
C13118 S22350
H24806 D13891
D20159 C15382
C34438 D16598
S7803 D17692
D25285 H31590
S39465 D36015
D39083 H29577
C21863 H17276
C15877 C31949
C23646 S16181
C37294 C7151
C23281 C38593
S23574 D21779
C27562 H13501
S17886 S9721
H39334 S13812
S8695 H22622
S12979 S31404
S28213 C25146
S39802 C33827
H37698 H29074
H12945 C615
D6102 C28782
H1663 S12094
H17975 H36221
D32275 C7135
C967 S13286
D18949 H22715
D25671 H11809
C13290 C8459
D8716 D13312
C34209 C39775
D15218 C28050
C6038 S25411
C11915 C14862
H17454 S31617
H12551 D23253
C19263 C37636
H13189 S36160
C18218 C30341
H30103 S37
H23867 H5937
H37862 C1763
D26343 S32148
C11389 S18379
D20040 D30173
D15359 H40091
H12650 S37721
C2596 D5004
H14037 S28878
C34449 D33435
H27888 S20946
C39932 C11823
C22196 H2414
D26820 D36987
D35906 H18358
S20281 C35301
C36386 H4086
S11967 D20539
C11639 D39210
C3654 D2583
H7264 C37942
S33350 C23660
S39607 H6506
H13620 H16936
C27209 H1880
S6147 H27711
C18320 H4424
D35868 C21685
H37015 H38970
D33545 S1317
S3201 H2896
D10700 C19884
D23869 S39317
H27052 S126
H27293 H38244
S31684 D20831
C29552 D33704
S16289 C18384
D10026 H31835
C27894 C5273
S32608 H21731
S32968 S9482
D8058 C38108
D2753 C7451
D24321 C4314
S9340 D9783
D34016 S22799
S25731 C30576
H36819 S16089
C15484 C20158
H7575 C2644
