20047 67555
S6788 D9980
C15516 D12875
D10232 D10854
S11463 H14559
C5648 S7661
C5746 H6264
C6066 C9626
H3900 C185
D3325 S2564
D17637 C2654
S6336 S13318
D324 D14249
H9053 S10217
S17834 C6166
D10018 C5733
S2858 C12097
D8425 C16801
C7173 C5034
D5800 S14924
D19227 C13329
D424 H5567
C6667 S4179
D861 D246
D17520 S4320
D2177 H12477
C9212 C13846
D3603 C14253
D8030 D13462
S8016 S7110
C17558 D6392
D1689 C17010
C13514 S15889
H18022 H19330
S1949 H12857
D3741 H14052
D5375 S11511
D2625 S14636
H1565 S17262
C7692 C19847
C9262 S8559
S6942 C18354
C10843 C3751
D5785 S1182
S18453 D11811
C4260 H14567
D17337 S19267
D6726 H17093
D11140 D16305
S13135 D6165
C866 H7856
S3602 D3806
H8550 C11733
C2363 S8492
S11241 D7759
S12588 C4057
D10253 D4237
S14699 C5178
H2865 S13969
S5665 D12473
D13574 C12385
H3613 S3865
S9092 D4332
H10339 D10614
S11031 D2059
S9150 C8734
D4462 D19566
S5254 C6646
S9642 C16887
D16294 C11593
C14307 C7205
S5557 C5865
D14569 D211
S15654 D4765
C2698 D5917
S14321 H13714
H5629 D14155
H13909 H14847
S11219 S13341
D10019 D7563
D11396 H166
C16368 H19125
S11108 D15117
S6489 C14497
D19583 S4723
S9197 H17558
C2730 S2089
H19097 S7189
S4925 S14165
H14551 S11052
S15174 D840
H19016 C2726
D16826 D13291
D16304 S12750
S14754 H18815
D2052 S11433
S13140 D17656
D15532 S9325
H5769 H18521
D9852 S2347
H1624 S9098
D13158 H11583
C1539 D90
H13866 H6343
S6008 C3207
D14986 H4218
C5871 S9190
C9925 H2785
D5719 H18777
S12081 H17060
H12848 C16315
H9980 H16307
D13966 D11109
C16487 D15462
D3612 C5748
H923 D12697
C18429 D4362
H13195 D11406
C2045 H19240
D7570 S1735
S18457 D11043
S4363 D2301
C6522 H17344
D19474 H13819
C16562 H13779
D6547 S13159
S3220 S14860
C9105 C6762
D17510 C8070
H15572 S19503
C1432 H4318
S13217 H8319
H18101 C5722
S15831 D19428
S9024 C535
S936 S4539
D10494 D15244
S19687 D18817
S19995 S19407
D5671 H19193
C10995 S7550
D10995 D15989
H4120 C11987
C6383 D10490
S1479 S8855
S1583 D18177
H6923 C3253
S13438 H20008
H11483 D6839
C2685 D17173
H17982 D2168
C7458 H18436
H2535 H5639
C12520 S10179
H14429 S6375
D18122 D9928
D939 S10729
C11341 D337
D8477 C9245
C2724 H9730
S11995 S7633
H13201 D5184
C5583 D9876
H9828 H18531
C16225 S13094
H1981 S19338
C18519 H6636
H16069 S17859
D4133 C5292
H16099 H15703
D16303 S17401
H8166 H9704
H8431 S10074
C548 C4611
C10558 C1673
S14274 S9093
D13466 C9866
S17787 H4779
C1324 D13575
C5333 D14070
S18269 D9760
D2707 H11921
C2503 H10376
H1273 D9159
H7613 S4825
D15604 H15741
C12262 S3959
C9797 S17947
H1058 C8674
D15479 H2551
C11440 C7005
D19730 D5596
S10747 H19431
S14907 H13263
S924 D6940
D16151 S9956
H15776 C19038
H10264 D6182
C8624 D7780
C17981 H16213
S16811 S11755
D6890 S16107
H3242 S18939
C18080 C2435
H7494 H12504
C5894 H10632
S1102 H14235
C9014 H2562
D6918 D237
C10978 D17898
S15716 D12711
S16884 H17779
C4080 S12845
H17501 S14694
H15348 H3990
S4405 S1250
H15246 H18713
S739 H13350
C17994 C1064
D11428 D18600
