38989 35604
D7610 H12020
D12945 H14836
S11797 C609
S31522 D36292
S27609 H22477
C34495 D27349
S29867 C1834
H808 S2645
C8009 C28320
H5982 D3806
C15414 S15484
D4504 C6066
H13750 C12347
C7697 C36853
D24645 D3056
C22254 H29030
C33669 C16178
S22293 H38797
H26057 S20117
S9473 S16270
D11614 C20571
H15630 S19582
D24358 C11394
D11497 H38374
C5092 H4820
D3509 C18618
C35970 S17088
D38968 H22453
D34121 D5691
S7623 C16527
S28764 C32731
H18421 C5774
D36748 C30182
S35624 H20915
S22877 H24743
S28606 H36376
S3621 H25250
C22251 H29265
D9276 H18206
C1063 S26762
S415 H21211
C14894 D15484
D2848 D31417
D37402 C1460
S13409 C37240
C15258 C16877
S5789 S19842
H35378 C14583
D16915 D17218
S16898 S3031
C28507 D36470
C22932 S26164
S5464 S89
D906 S3233
C20202 H5035
H21736 D7219
S1386 C28616
H9299 H34042
H31025 C14519
S723 C28966
C27092 H8320
S37478 H38373
S1183 H24795
D8712 H1262
S16591 D21211
S16839 C6104
C7767 C32020
S3649 D32099
C14674 D20186
C18433 S11067
D26325 D21178
H5199 C33289
C14757 H15516
S28037 C18392
D33775 C4107
C24542 C1461
H24214 C38478
C2707 H5800
D37346 D16791
H21645 C11732
S19385 D272
S20069 C13289
D20362 D21567
S24239 S21249
D26581 H33054
D25621 D38950
C35167 D12594
H32373 C14222
H5013 S5463
D5775 D25334
D27167 S30272
H32973 S10902
D3333 H27501
D13153 C16131
H10155 H655
C14148 D7861
S30964 D19026
S27197 D30148
C13152 S36396
D13374 S24915
C13990 S995
H18509 D34300
H20328 S30303
C11326 H28053
C12251 S25554
D35108 D28311
S30818 H37525
D9191 D10264
H10977 H18661
S36784 S11939
H29795 H30183
S20637 S20977
C29404 C32235
D2420 D23294
H36455 S8095
S34681 D28123
S7020 C32726
C13584 H11576
H4150 S36241
D29480 C9781
C5437 H3054
S7991 S38967
H38682 D33980
S19164 D20803
H11420 D10699
C29655 C10432
S20781 H5642
H1588 H4156
H3123 H4049
C24079 C21881
C17726 H19623
D4554 H31879
H34622 D504
H35368 C6210
H14388 D36797
C35141 H30454
C14047 H14559
D37816 S13181
D7055 H25746
C27122 C16290
D12356 S20951
H22680 S5332
D8666 H2231
D564 H19603
S7633 S17332
D5340 C12558
D13494 S33348
S6278 H15613
S30304 S37800
H20091 H28925
S32357 H629
C24306 H33260
S5148 D20413
C15002 D28659
S7420 H6208
C21811 D30699
S3257 H29960
H30228 C37558
C27384 H14173
H10206 D16922
H34506 D12427
D34405 S20083
C32207 D9209
C33895 S26001
C21090 D5332
C36913 H10731
S17460 S30803
D23325 H15907
H8926 D23215
S38374 C27201
D29959 C34812
C16799 D23193
S7327 S1806
S36093 C6396
H29498 H931
S16809 D7171
S3016 S15295
H540 D25650
C25705 D136
S9934 D12581
S5225 S23356
H2538 S21258
H15290 H33564
S38281 D1835
C2033 C38189
C27545 H8974
H19194 S11978
S5148 S37928
H35962 S135
S7490 S26333
D10508 S17419
D27813 S34004
S3630 C21136
S9574 S6040
D24170 H35898
H34566 S18704
S34791 D31252
C16025 H17345
C570 C34297
D10240 H20703
D17484 D37372
S19185 C34510
H1290 D13454
H36871 H12201
D28326 H9782
H22823 C1926
S23861 C33055
C34023 S17230
C37621 S1385
C33336 D16962
H32858 S3109
C2234 C17719
S9006 D21295
D33396 C2751
C11194 D26766
H23636 C17461
D11501 D18267
D20217 D34335
D12348 D30671
H19446 S21604
S33619 S28693
H23251 H23888
D30861 C15384
S7722 D35353
S13088 D742
C35074 S10556
C26353 H6415
D8293 D5326
D29231 C5858
S37474 H922
S29572 C13786
S28383 S25693
C3163 S10542
S4672 D36306
H27334 H921
H18323 H6483
S12740 S9247
C20161 H23638
H7375 H22914
D16312 S10640
H8818 D33820
H3191 D640
D19914 H9933
C9061 C35157
D20160 H38907
C37607 S20615
S2522 H6294
H31404 H8495
C3976 C33009
H36813 D8899
S35679 S2397
D34103 D26807
S34761 D37255
S22481 H18426
S24926 D15891
S2116 C3293
S29947 S8193
H37655 C35971
D21314 D31750
C13514 D19745
S24744 H21683
H22252 D37387
C27327 C25728
H31372 H1376
C27664 H9413
C4963 C9354
H29676 H27985
C7610 D261
H21383 C25955
C1411 D24508
C7293 C7590
C31482 S13486
S36984 C15005
H89 D6944
D36887 S25009
S34528 D13941
S38874 H5072
C9699 C236
C5902 S29951
S18507 H20896
S37678 D5040
S19810 C17485
S16548 H5524
H3370 H16056
D35142 C14804
D30990 C33844
H24000 C20860
S15530 S33766
D13572 C13459
C37182 C12837
S18898 C5204
C11436 S14244
D20991 S26409
C12016 H28992
D18117 H32213
H17388 D16870
D11785 S7524
H1588 D29922
C18464 H3879
D21814 C1480
H32624 D5966
C14240 C32435
H8521 C25202
D26484 D37368
D5241 H2708
H28846 H35396
H2342 H26016
S24527 H22140
C2256 H10329
H23384 C33903
C15426 S30843
C26178 C2267
D26050 H24346
D23853 C30439
C27081 S28265
C2287 H17941
C24720 C3572
C14343 D6361
H20033 D22982
D18248 H38725
D1456 S38488
H20761 D28103
C13742 D37786
H18815 C1138
H38330 D23513
S5159 D17258
H23946 H24995
H3111 H32013
S35123 C5858
D8089 C35366
S7653 C18293
C15888 C2678
H13086 H23440
H15341 H9288
H25592 H13594
C18784 D33876
D22345 D35610
C4465 C13893
S34074 S2547
C32332 H38743
D23058 H25187
C37374 C7769
H8829 H21681
D22621 S5482
D3278 C10666
D20248 D5294
C9324 S38189
C102 C3289
C27089 C16839
C16702 H9625
H15623 C33107
D8191 D7858
S22344 S33569
H7756 D35193
D29673 D11899
D34081 C435
H2241 D23924
S2324 C34944
C1439 D38802
D14621 S16713
D17019 S4693
D11072 C33317
H38596 C24882
S4297 H5453
D21589 S33615
C25322 S31807
D22170 C24078
C24586 S32136
C19270 H5225
S31700 H14032
C35495 S24024
C35200 H9768
S13617 D21586
D10458 C30289
S38037 S34445
D31143 C29857
H24021 H27139
S34194 H37818
S18448 C37980
S19665 S10467
C34865 H16907
S17167 H1067
S4113 H17376
D7932 H5006
D7009 D18555
D36388 S1895
D7461 D35981
D28039 S33164
D6317 H29814
S10278 H5154
H31779 D20792
D34203 H13209
C7980 C28837
D14378 S11541
C11193 H22220
D1999 D28000
S1462 C4458
S36728 S20494
H6866 C17090
H2544 S26900
S32759 C17665
H2975 S34090
S27898 S38546
H32635 H31676
C26319 H62
D33393 D18646
H25710 D580
D29000 H20785
S4212 C23085
H155 S12783
C38328 S714
S23108 C9531
H7611 C37733
C984 S18644
D11733 H8747
D8401 S5558
D22507 C17991
H26117 H29768
D30054 H21226
C26195 H31941
C10704 C6330
S4002 C20964
C8198 C7031
C13314 D31936
C24339 H31530
D13057 S18756
H17733 H13537
C9572 S8211
C35446 H32107
H13313 C19954
C5083 D11436
D2991 H15726
D31465 H25426
C30308 C4301
C24811 H5459
C35807 C20036
H9903 S27234
C5382 C3303
H31651 C18105
S22093 C25560
C5800 D7718
S29835 H34840
D10222 D22285
H18852 H10247
S2527 D32653
S33448 H30749
S35858 C7338
S19172 C23635
D4380 C14458
S28698 H13871
S10894 C38960
D9882 C20498
D22845 S10273
C38310 H12822
S20838 C33117
S22 H7816
H29929 C27644
H10378 S10536
S26941 C28668
H5300 D28247
H28444 C28588
D32559 H33877
H3603 H905
S18476 S21484
H17564 D6977
C7946 C29147
S35887 H32798
D11892 H22346
H2402 H1865
H5935 S30332
S31216 C7406
H24821 D36921
S2686 D32625
D34705 S451
D13090 C3755
S7472 S38966
S12910 H20122
D12332 D4951
D6570 D9970
C26113 C12961
S17084 H35803
H943 D925
D14477 H14049
H2995 S7949
S16858 D35417
H6148 H27739
H37662 H25609
S33248 D14383
D7906 C22665
S33048 D16238
S19725 C25237
C11103 H36131
S26232 H837
H7604 C22412
C5445 D19970
C20048 H2042
C35183 S220
S16887 C18612
D26412 S18068
S14045 C28808
S14030 D8821
D19138 D4172
S14618 D34861
