44582 79162
S37831 C16397
D5000 H19484
D15306 S21565
D6856 D11532
S31452 H29008
S32212 C43674
C34384 S27424
H8424 S41730
H5721 D14371
S16672 C18158
H11181 S26329
C18068 H39417
C8952 D28298
H27385 S27245
D9436 D43411
S15660 C27451
D32113 C43205
C9004 C19644
S2661 S41654
S3466 H44147
D18139 H22667
H26177 H41739
H34419 D42816
D22409 S7113
S27248 H4284
H3763 D31007
S15929 D6796
C29260 C11059
S31593 D2842
H12161 H15838
H13792 S35173
D30845 C40269
S21984 D29844
C9466 D13185
C30644 D17457
H2838 D41568
C21265 D19568
D17081 H42656
S23765 C15525
H7301 S21881
S18613 C39642
H8333 D43151
H30208 H4048
S33789 D8408
S13371 C29508
S25636 D18650
D26262 S12314
H34100 H27227
D44135 D4657
H28575 H37038
H26442 C24526
C43943 H5178
S22217 C21044
D2610 D36939
C14654 D38567
C28752 D12368
C16228 S42701
H41328 H31330
S19380 C3810
H19914 S5782
D34486 D31714
S25837 D16
D36464 D20203
S31059 H19711
S43217 C27189
H41402 D15459
S20805 S8048
D22526 C5822
S35483 D8713
S5419 C15979
S21905 H10004
H107 C15597
S33441 S18848
C7496 D6125
S782 H35636
H32844 C3750
S26980 H31940
S39458 H4653
D18995 C1436
S40489 C16930
D14269 H6755
S34197 S2031
C28034 S20414
C10927 C1357
C31046 D26417
S24727 H9109
H3046 C40785
H21822 C185
S43338 H42098
S1193 S19286
H18693 C26281
D8396 S8142
C21437 C9079
S9762 C34947
C25594 C8001
C33420 H1617
S14693 H34343
H19312 D20844
C698 H23373
C968 C26450
H37149 H17466
D3305 H34640
C1788 S13498
C40940 H5325
C25562 S5005
C1442 C9400
S17667 C14450
C41093 C10132
D23995 H18713
H16849 D18944
S32903 H39465
C1326 D3922
D2898 D31034
D35297 S2939
D21685 D2415
C15703 S31421
D1764 D6135
H9642 C21293
S3835 C23228
D43971 H34091
C41376 C42161
D6735 C40192
S13025 H34766
H10050 D25158
D10569 H3021
C39853 H9779
D16408 D20820
C24057 D26932
S17623 D8914
C18282 S7257
H37813 C5315
C6418 D21831
S42198 H32859
C32270 C44558
H18421 C30992
D29779 S29267
D32900 S5894
H28166 S41918
S30622 D23690
S7834 C29095
S9271 C19432
H16801 C8977
H15763 S32547
C9650 C21675
H7860 C23014
C1180 D3682
H39961 H41120
C13244 H8679
S32870 S37101
C26373 S17409
H14923 C10016
H6912 S21192
H30255 D11014
C20283 D5537
S31894 H1560
D40120 S2388
D42921 H44361
S8775 C17093
C12910 D19957
C5365 D17071
H4081 H4889
D335 D33790
D21033 H27123
D8150 H23372
S6234 D33311
H35169 C13395
H706 C13865
H23558 D24461
D5280 C42256
D9490 S12752
D8391 D30038
C1111 C40870
C1342 H23030
D22400 H18135
H23930 C32837
H22386 S31421
H43352 C43920
D17259 S18589
D40651 S12348
S288 S7041
D35944 C12857
C23322 S1221
H43737 C36714
D26209 D16465
D42416 D36184
D27789 S4527
S35963 C27447
D10670 H21260
S31177 H38111
D26378 S29201
S34073 H13754
S35976 S29436
S41859 D30446
S6055 D4123
S22204 D3654
H41628 D29029
H20852 D42970
C5596 C33440
H18896 S20081
H35424 S18715
C20755 C9875
H25854 S4696
S13046 D22036
H1617 H1232
S4748 C3566
D25245 C9226
H3580 C19318
H28724 D12851
C2441 D36432
C35528 D1980
D36726 C6120
D40166 C20317
D43284 H33816
C38056 S40157
S30345 H5952
H15605 H1556
D24326 D33149
S33093 C37820
H17488 C28069
H32786 S10024
H24982 D25174
S36234 S6835
S30982 C34335
S24327 S3251
C40663 D17379
H6641 S17048
H20005 D42934
H20410 C22065
C42678 S20031
S2487 D17346
D30240 C33749
S7053 S1118
H37012 S35553
D42524 H18025
H17454 D27560
D27925 S29801
S13109 D34406
D17906 C23852
S28300 C1638
C28127 H31273
S40755 H28032
H25572 C41621
C14568 H23713
H38662 S19339
S5225 D43962
C33654 D16706
H35731 H26928
D25845 S1976
C15847 S26130
H7329 S31653
D27347 C17105
C32365 H14792
H34000 C13977
C34448 H31769
S24613 H24305
C2273 C15650
H44173 H29225
C4379 D17649
C2574 C2768
D23671 S36323
C32806 D33646
C22583 H11694
D40842 D31572
H38 C30090
C42652 C42117
D19134 H6255
D15531 H44476
D32670 D6637
C30334 H9513
C20849 H9998
D39502 D42314
D11796 S34950
H20434 S26303
S11516 D13474
C22642 C22670
H41416 H7956
