80448 67935
C63953 D9603
D20129 H49843
D34606 H25161
S7703 C34748
S37644 S462
S21735 H57774
H9648 S16563
D38782 H8874
D3619 H52343
C49134 S42391
D29690 H53782
C19665 D37582
D12771 D58301
H13451 S4686
H20405 D16311
C58354 C1681
D41081 H27036
C56804 C10186
C71158 H68259
H23721 H47541
D3833 D64780
S11574 D21979
D72917 H74494
H29607 C6334
H3674 S7519
H31002 D52071
H42847 C17879
S47557 H12271
D17167 H75454
S53608 H78409
S55820 D62259
C56966 D7770
H32097 H62380
C67196 D71887
H28330 D70583
H57599 D69564
C62767 S61735
H34756 C61065
H896 H32137
D68226 H47708
H5269 C24863
S11055 D68020
D13098 S65575
D55 H62775
C13004 S26151
S18121 D9889
D74338 D44822
C5781 H7715
D22941 S7933
S39539 S10697
C76 D48143
S76136 D61377
H30249 C22324
H77895 C3761
C3933 D48036
D42671 H78799
D72822 S47826
D28216 C36330
D11606 C8636
D77180 H54684
H68442 H47534
D59063 H55800
H48013 C47186
S2456 C56844
H60466 C16410
H28399 S64711
S72995 D18767
H22617 H17768
S60530 C40269
S56769 S48725
D61717 C30855
D19160 H38825
D47215 D23480
H12429 H45354
C988 C19282
S66880 C75648
H13212 D17249
H35095 C60372
C52012 S79075
D77295 S80296
S56425 S72215
H43018 S70395
C1844 D63202
C62355 C32796
D888 S55307
D30100 S4779
H70441 S42780
S62779 D12738
C5017 D49362
S78997 H23722
C75431 C25223
S43528 H63215
C24076 H13711
D71014 H42660
C24443 D39468
S65816 D42591
H18474 C9123
S43851 C80210
D50695 H79387
C50670 C54129
D10171 S70855
H76910 H27853
C37157 H38739
H7198 D27488
C27174 H40083
D20311 S38545
H2059 S67627
D6939 H55455
D64965 C79122
H35462 D17753
C13543 S70142
D58194 D76694
H791 D50210
S74758 H42823
H3732 S60413
C6560 H18622
H24072 H53551
D22922 D48297
S27371 C35967
C76360 D31448
H72713 S48747
S12377 D39190
S36960 H58762
H78553 S22235
H74959 H73485
D40909 D55201
D13796 S62908
D27298 H54760
H75552 C69519
D26880 H9448
C46738 C46967
D7388 H31755
D29372 S25928
C47265 D177
D71256 H79740
C22413 H78464
H71248 H44111
D58356 S40301
H34801 S355
D42047 H71520
C68208 H76409
D22279 S12993
D6902 D53360
S67686 C70467
H65252 S20570
C78629 S24173
H44839 D40705
S4651 D67442
D35548 H54221
C25512 D70767
C49327 C11542
S5015 H24241
H62025 D70127
D21260 H36782
C39963 D73447
S57000 D39208
H5774 C12037
C31744 C10264
C70373 D38295
S26408 H44179
S64308 C25106
D28152 H33021
S39521 D914
C77781 D4894
C23054 S12940
H1944 S5932
D1987 H3656
D29713 H15722
S27620 D11235
H41517 C65641
C38383 C79833
H36637 H41036
D42150 D2346
S32464 S34819
D16274 S20138
D9975 D16197
C69300 D27089
D11640 C32096
S73670 C8409
D15225 H16641
H42367 H39627
D54550 C3977
D42316 C43201
D48369 H55285
S47385 C33216
C62151 C31635
H3893 S59586
S11772 H55309
H20192 H56010
S7040 S54992
D460 D52024
D9542 C38507
H29721 D48220
S43741 H11612
D27272 S48372
S48845 H6735
H78244 S68316
D53702 D33096
C32208 D53001
H8929 D44314
D77174 D35879
S54916 H22030
S19132 D34722
H39775 D10284
C73660 H51542
D63902 C63944
C42737 H27824
C62322 C64552
S13023 C29365
S62396 C61668
C15075 H75003
H56588 D50177
D47010 D66459
D47827 S71015
D1307 H57349
D47677 C76098
H16591 H55048
C76 D1516
H13714 D11966
S60013 C29900
D69044 S16266
S30944 D74176
S43742 D40092
D10215 C2392
S41369 C50513
C46148 C25225
C76694 D37717
C11478 S36851
D895 C31499
H11240 H26673
C77460 S37323
C11761 S24472
C10932 S70650
S13961 D76345
C61522 S46453
H43798 S9780
S52502 D42495
S71992 H1974
H22111 C26654
S73822 H68539
H31990 H39049
D46674 D51582
S18644 C13084
S80293 S67506
D35794 C10564
S6724 S24615
D14443 D12993
C12399 C68537
S6623 S68436
H29375 H24810
C15263 D72649
D29538 C61200
C25206 S28218
H71089 C12434
C20196 D17931
H76265 D48592
D68258 H61139
S45163 D26971
D46004 H35025
S60711 H9850
S829 H54349
H4046 S26444
S56081 C34089
S10664 S35052
C54204 S51687
H72152 D36795
H70781 S50994
H6045 H43228
C2646 C52830
H52528 D737
C57138 C56704
S60790 D67490
D55128 C4003
C16794 H14212
C39744 D56602
D16883 D27485
D9964 C57990
C26439 D43872
S50453 D45888
D61484 C4804
S69136 H13792
S36358 D39755
S17952 D32606
H29748 S22748
D1386 C73434
D44705 S53435
D7053 H39330
C71981 D48747
C76608 S75810
S31354 H68477
D14235 H2785
D47244 C20937
D54075 H79539
S32718 D13559
S26238 D66543
D19186 C79362
D7881 C58557
C72826 D67270
D14591 D39314
S62653 S69619
D15993 C70275
C65623 C76967
C76846 C7207
D31153 S71874
C48747 H36963
S9141 H69501
S4216 D36604
D11377 H60344
C79822 D49782
S16445 C52037
S3060 C41468
C4187 C12283
H11352 C50995
S22688 D17768
S68301 S39111
D29938 H79644
C7565 C39424
S6809 C45277
S54487 D48524
H57223 D78558
H4148 H60699
S70825 C38787
C61728 C74051
C61333 S13670
S63097 C28686
S23064 C5730
S48926 H28817
H34555 D17013
H26871 D71667
C55122 C13156
S19997 D39282
S49481 H61969
S76048 D12645
H33844 S3231
C26949 S9010
H57805 H52460
S20047 H57097
C11292 C7138
S28705 H15410
S74228 D35438
C60444 C45966
S41123 D8409
S9123 S25510
D68158 H77953
S8383 S40766
S15441 H11512
H51757 S48468
C4273 H62884
H25698 S63352
S65681 H47710
D62272 C71259
S32129 H77573
H14242 C4126
H1793 D20642
D79816 D47244
D76829 C29560
H79609 C65625
C65809 H35344
C50546 D31621
H35947 H79914
C47295 S58030
H73802 D51894
H44255 D51301
S6863 S42222
H47709 D35677
C19014 S33712
H27128 S33738
D65936 H36233
S72250 S18845
H8027 S65484
H6680 S14901
D79215 H34019
C71454 D40824
H23963 H35521
D76040 D51881
D8698 S60170
C66435 D54041
C73102 S36640
S18693 D42366
D20199 S71435
C37001 H39649
D5606 H21635
H36853 C32403
S21971 H12282
H58185 S23072
H61674 C80308
S47700 C46426
H36445 D10560
C26890 H69040
C58628 D71350
S33270 S22270
C56382 C32454
S32102 H54055
H48796 D10037
D67242 D363
S6668 D67519
D9370 S50797
C19346 D3281
H18876 H5920
C44793 C7913
H27831 H65956
H25804 C22536
C61448 D25777
H44756 D374
C32181 C19464
C26409 H37640
C25448 C51054
H61682 C11207
H73862 H2371
S31995 S40014
H63214 D48690
D52496 S41536
H2255 D68802
D51864 C26694
H60347 H62189
C56514 C40704
S3266 H68573
D30462 D60487
H32874 D23193
S41339 S14059
H63502 C39652
S23346 S57428
S63367 H53286
D23304 D42852
H18151 C3975
C66678 H6183
D47841 S42605
C44732 D14997
S66721 C42543
D1084 C67790
H56523 D54405
H28232 D34681
D15030 D4641
C14844 H46793
D19556 D40839
H52289 S57980
D18403 C4979
S28639 H5158
C18811 C41292
D11206 H33472
D17836 H35348
H60733 D43406
S49823 S18546
D40282 D52641
D4030 S22816
D45362 S1518
C2886 H38604
D79994 H40640
S36035 S11512
C38769 D6732
S54680 D24254
C170 C12035
S26660 H4250
H8856 S75550
D51692 S45838
D23738 C13716
S10057 S77207
C22842 C19657
C23984 H39964
H14598 C49936
S58270 C67815
D39864 C13298
S33870 S13225
S72008 D16970
S56093 S76926
D67015 H76350
C42792 C59281
D74357 C75362
C35950 C11068
H25012 S42716
C19717 D76927
S48567 D63495
H68018 C44
H47627 H68922
C17404 D60687
C48255 S23059
C68872 C71706
H11311 H72151
S33683 S50125
D21559 C79248
D4803 C35363
C717 C64017
C54906 C25659
C10268 S61562
S61528 S18612
D10636 D2315
S75042 H26938
C29992 H65326
C55270 C67584
S8199 D2693
H5850 C37005
D12618 H4111
D39513 D12916
H78313 H10046
D73145 S36500
C31900 S32278
H724 D35989
C73524 H45523
H2201 D32438
S15678 S22390
D360 H50431
H4990 C36356
D63052 H61497
C53822 D3707
C41156 S21885
D30460 D55698
S27221 S68899
D5555 D35753
D16683 S78793
D27344 C72590
D14329 H76152
C45273 S32303
D425 S30611
D61099 D75588
D3057 C77477
H39836 S3706
C34243 H61673
C11055 D62031
S64384 S71390
D67692 D49902
C19397 C40861
S48621 H61547
S36437 H36440
D58242 S57460
D28852 H13994
H3300 C65822
D24238 H66228
S10575 D7734
S36694 S968
S11123 D50416
S27452 D59057
C67017 C251
D26718 H48005
D9050 C13949
H19042 D5158
H37927 C2842
H6278 S20700
D78891 H4066
S76030 C23573
S18135 D62486
H61199 C49531
D7481 D60968
